_id,sepallength,sepalwidth,petallength,petalwidth,class
651ae68641beb67c9e417d86,5.1,3.5,1.4,0.2,Iris-setosa
651ae68641beb67c9e417d87,4.9,3,1.4,0.2,Iris-setosa
651ae68641beb67c9e417d88,4.7,3.2,1.3,0.2,Iris-setosa
651ae68641beb67c9e417d89,4.6,3.1,1.5,0.2,Iris-setosa
651ae68641beb67c9e417d8a,5,3.6,1.4,0.2,Iris-setosa
651ae68641beb67c9e417d8b,5.4,3.9,1.7,0.4,Iris-setosa
651ae68641beb67c9e417d8c,4.6,3.4,1.4,0.3,Iris-setosa
651ae68641beb67c9e417d8d,5,3.4,1.5,0.2,Iris-setosa
651ae68641beb67c9e417d8e,4.4,2.9,1.4,0.2,Iris-setosa
651ae68641beb67c9e417d8f,4.9,3.1,1.5,0.1,Iris-setosa
651ae68641beb67c9e417d90,5.4,3.7,1.5,0.2,Iris-setosa
651ae68641beb67c9e417d91,4.8,3.4,1.6,0.2,Iris-setosa
651ae68641beb67c9e417d92,4.8,3,1.4,0.1,Iris-setosa
651ae68641beb67c9e417d93,4.3,3,1.1,0.1,Iris-setosa
651ae68641beb67c9e417d94,5.8,4,1.2,0.2,Iris-setosa
651ae68641beb67c9e417d95,5.7,4.4,1.5,0.4,Iris-setosa
651ae68641beb67c9e417d96,5.4,3.9,1.3,0.4,Iris-setosa
651ae68641beb67c9e417d97,5.1,3.5,1.4,0.3,Iris-setosa
651ae68641beb67c9e417d98,5.7,3.8,1.7,0.3,Iris-setosa
651ae68641beb67c9e417d99,5.1,3.8,1.5,0.3,Iris-setosa
651ae68641beb67c9e417d9a,5.4,3.4,1.7,0.2,Iris-setosa
651ae68641beb67c9e417d9b,5.1,3.7,1.5,0.4,Iris-setosa
651ae68641beb67c9e417d9c,4.6,3.6,1,0.2,Iris-setosa
651ae68641beb67c9e417d9d,5.1,3.3,1.7,0.5,Iris-setosa
651ae68641beb67c9e417d9e,4.8,3.4,1.9,0.2,Iris-setosa
651ae68641beb67c9e417d9f,5,3,1.6,0.2,Iris-setosa
651ae68641beb67c9e417da0,5,3.4,1.6,0.4,Iris-setosa
651ae68641beb67c9e417da1,5.2,3.5,1.5,0.2,Iris-setosa
651ae68641beb67c9e417da2,5.2,3.4,1.4,0.2,Iris-setosa
651ae68641beb67c9e417da3,4.7,3.2,1.6,0.2,Iris-setosa
651ae68641beb67c9e417da4,4.8,3.1,1.6,0.2,Iris-setosa
651ae68641beb67c9e417da5,5.4,3.4,1.5,0.4,Iris-setosa
651ae68641beb67c9e417da6,5.2,4.1,1.5,0.1,Iris-setosa
651ae68641beb67c9e417da7,5.5,4.2,1.4,0.2,Iris-setosa
651ae68641beb67c9e417da8,4.9,3.1,1.5,0.1,Iris-setosa
651ae68641beb67c9e417da9,5,3.2,1.2,0.2,Iris-setosa
651ae68641beb67c9e417daa,5.5,3.5,1.3,0.2,Iris-setosa
651ae68641beb67c9e417dab,4.9,3.1,1.5,0.1,Iris-setosa
651ae68641beb67c9e417dac,4.4,3,1.3,0.2,Iris-setosa
651ae68641beb67c9e417dad,5.1,3.4,1.5,0.2,Iris-setosa
651ae68641beb67c9e417dae,5,3.5,1.3,0.3,Iris-setosa
651ae68641beb67c9e417daf,4.5,2.3,1.3,0.3,Iris-setosa
651ae68641beb67c9e417db0,4.4,3.2,1.3,0.2,Iris-setosa
651ae68641beb67c9e417db1,5,3.5,1.6,0.6,Iris-setosa
651ae68641beb67c9e417db2,5.1,3.8,1.9,0.4,Iris-setosa
651ae68641beb67c9e417db3,4.8,3,1.4,0.3,Iris-setosa
651ae68641beb67c9e417db4,5.1,3.8,1.6,0.2,Iris-setosa
651ae68641beb67c9e417db5,4.6,3.2,1.4,0.2,Iris-setosa
651ae68641beb67c9e417db6,5.3,3.7,1.5,0.2,Iris-setosa
651ae68641beb67c9e417db7,5,3.3,1.4,0.2,Iris-setosa
651ae68641beb67c9e417db8,7,3.2,4.7,1.4,Iris-versicolor
651ae68641beb67c9e417db9,6.4,3.2,4.5,1.5,Iris-versicolor
651ae68641beb67c9e417dba,6.9,3.1,4.9,1.5,Iris-versicolor
651ae68641beb67c9e417dbb,5.5,2.3,4,1.3,Iris-versicolor
651ae68641beb67c9e417dbc,6.5,2.8,4.6,1.5,Iris-versicolor
651ae68641beb67c9e417dbd,5.7,2.8,4.5,1.3,Iris-versicolor
651ae68641beb67c9e417dbe,6.3,3.3,4.7,1.6,Iris-versicolor
651ae68641beb67c9e417dbf,4.9,2.4,3.3,1,Iris-versicolor
651ae68641beb67c9e417dc0,6.6,2.9,4.6,1.3,Iris-versicolor
651ae68641beb67c9e417dc1,5.2,2.7,3.9,1.4,Iris-versicolor
651ae68641beb67c9e417dc2,5,2,3.5,1,Iris-versicolor
651ae68641beb67c9e417dc3,5.9,3,4.2,1.5,Iris-versicolor
651ae68641beb67c9e417dc4,6,2.2,4,1,Iris-versicolor
651ae68641beb67c9e417dc5,6.1,2.9,4.7,1.4,Iris-versicolor
651ae68641beb67c9e417dc6,5.6,2.9,3.6,1.3,Iris-versicolor
651ae68641beb67c9e417dc7,6.7,3.1,4.4,1.4,Iris-versicolor
651ae68641beb67c9e417dc8,5.6,3,4.5,1.5,Iris-versicolor
651ae68641beb67c9e417dc9,5.8,2.7,4.1,1,Iris-versicolor
651ae68641beb67c9e417dca,6.2,2.2,4.5,1.5,Iris-versicolor
651ae68641beb67c9e417dcb,5.6,2.5,3.9,1.1,Iris-versicolor
651ae68641beb67c9e417dcc,5.9,3.2,4.8,1.8,Iris-versicolor
651ae68641beb67c9e417dcd,6.1,2.8,4,1.3,Iris-versicolor
651ae68641beb67c9e417dce,6.3,2.5,4.9,1.5,Iris-versicolor
651ae68641beb67c9e417dcf,6.1,2.8,4.7,1.2,Iris-versicolor
651ae68641beb67c9e417dd0,6.4,2.9,4.3,1.3,Iris-versicolor
651ae68641beb67c9e417dd1,6.6,3,4.4,1.4,Iris-versicolor
651ae68641beb67c9e417dd2,6.8,2.8,4.8,1.4,Iris-versicolor
651ae68641beb67c9e417dd3,6.7,3,5,1.7,Iris-versicolor
651ae68641beb67c9e417dd4,6,2.9,4.5,1.5,Iris-versicolor
651ae68641beb67c9e417dd5,5.7,2.6,3.5,1,Iris-versicolor
651ae68641beb67c9e417dd6,5.5,2.4,3.8,1.1,Iris-versicolor
651ae68641beb67c9e417dd7,5.5,2.4,3.7,1,Iris-versicolor
651ae68641beb67c9e417dd8,5.8,2.7,3.9,1.2,Iris-versicolor
651ae68641beb67c9e417dd9,6,2.7,5.1,1.6,Iris-versicolor
651ae68641beb67c9e417dda,5.4,3,4.5,1.5,Iris-versicolor
651ae68641beb67c9e417ddb,6,3.4,4.5,1.6,Iris-versicolor
651ae68641beb67c9e417ddc,6.7,3.1,4.7,1.5,Iris-versicolor
651ae68641beb67c9e417ddd,6.3,2.3,4.4,1.3,Iris-versicolor
651ae68641beb67c9e417dde,5.6,3,4.1,1.3,Iris-versicolor
651ae68641beb67c9e417ddf,5.5,2.5,4,1.3,Iris-versicolor
651ae68641beb67c9e417de0,5.5,2.6,4.4,1.2,Iris-versicolor
651ae68641beb67c9e417de1,6.1,3,4.6,1.4,Iris-versicolor
651ae68641beb67c9e417de2,5.8,2.6,4,1.2,Iris-versicolor
651ae68641beb67c9e417de3,5,2.3,3.3,1,Iris-versicolor
651ae68641beb67c9e417de4,5.6,2.7,4.2,1.3,Iris-versicolor
651ae68641beb67c9e417de5,5.7,3,4.2,1.2,Iris-versicolor
651ae68641beb67c9e417de6,5.7,2.9,4.2,1.3,Iris-versicolor
651ae68641beb67c9e417de7,6.2,2.9,4.3,1.3,Iris-versicolor
651ae68641beb67c9e417de8,5.1,2.5,3,1.1,Iris-versicolor
651ae68641beb67c9e417de9,5.7,2.8,4.1,1.3,Iris-versicolor
651ae68641beb67c9e417dea,6.3,3.3,6,2.5,Iris-virginica
651ae68641beb67c9e417deb,5.8,2.7,5.1,1.9,Iris-virginica
651ae68641beb67c9e417dec,7.1,3,5.9,2.1,Iris-virginica
651ae68641beb67c9e417ded,6.3,2.9,5.6,1.8,Iris-virginica
651ae68641beb67c9e417dee,6.5,3,5.8,2.2,Iris-virginica
651ae68641beb67c9e417def,7.6,3,6.6,2.1,Iris-virginica
651ae68641beb67c9e417df0,4.9,2.5,4.5,1.7,Iris-virginica
651ae68641beb67c9e417df1,7.3,2.9,6.3,1.8,Iris-virginica
651ae68641beb67c9e417df2,6.7,2.5,5.8,1.8,Iris-virginica
651ae68641beb67c9e417df3,7.2,3.6,6.1,2.5,Iris-virginica
651ae68641beb67c9e417df4,6.5,3.2,5.1,2,Iris-virginica
651ae68641beb67c9e417df5,6.4,2.7,5.3,1.9,Iris-virginica
651ae68641beb67c9e417df6,6.8,3,5.5,2.1,Iris-virginica
651ae68641beb67c9e417df7,5.7,2.5,5,2,Iris-virginica
651ae68641beb67c9e417df8,5.8,2.8,5.1,2.4,Iris-virginica
651ae68641beb67c9e417df9,6.4,3.2,5.3,2.3,Iris-virginica
651ae68641beb67c9e417dfa,6.5,3,5.5,1.8,Iris-virginica
651ae68641beb67c9e417dfb,7.7,3.8,6.7,2.2,Iris-virginica
651ae68641beb67c9e417dfc,7.7,2.6,6.9,2.3,Iris-virginica
651ae68641beb67c9e417dfd,6,2.2,5,1.5,Iris-virginica
651ae68641beb67c9e417dfe,6.9,3.2,5.7,2.3,Iris-virginica
651ae68641beb67c9e417dff,5.6,2.8,4.9,2,Iris-virginica
651ae68641beb67c9e417e00,7.7,2.8,6.7,2,Iris-virginica
651ae68641beb67c9e417e01,6.3,2.7,4.9,1.8,Iris-virginica
651ae68641beb67c9e417e02,6.7,3.3,5.7,2.1,Iris-virginica
651ae68641beb67c9e417e03,7.2,3.2,6,1.8,Iris-virginica
651ae68641beb67c9e417e04,6.2,2.8,4.8,1.8,Iris-virginica
651ae68641beb67c9e417e05,6.1,3,4.9,1.8,Iris-virginica
651ae68641beb67c9e417e06,6.4,2.8,5.6,2.1,Iris-virginica
651ae68641beb67c9e417e07,7.2,3,5.8,1.6,Iris-virginica
651ae68641beb67c9e417e08,7.4,2.8,6.1,1.9,Iris-virginica
651ae68641beb67c9e417e09,7.9,3.8,6.4,2,Iris-virginica
651ae68641beb67c9e417e0a,6.4,2.8,5.6,2.2,Iris-virginica
651ae68641beb67c9e417e0b,6.3,2.8,5.1,1.5,Iris-virginica
651ae68641beb67c9e417e0c,6.1,2.6,5.6,1.4,Iris-virginica
651ae68641beb67c9e417e0d,7.7,3,6.1,2.3,Iris-virginica
651ae68641beb67c9e417e0e,6.3,3.4,5.6,2.4,Iris-virginica
651ae68641beb67c9e417e0f,6.4,3.1,5.5,1.8,Iris-virginica
651ae68641beb67c9e417e10,6,3,4.8,1.8,Iris-virginica
651ae68641beb67c9e417e11,6.9,3.1,5.4,2.1,Iris-virginica
651ae68641beb67c9e417e12,6.7,3.1,5.6,2.4,Iris-virginica
651ae68641beb67c9e417e13,6.9,3.1,5.1,2.3,Iris-virginica
651ae68641beb67c9e417e14,5.8,2.7,5.1,1.9,Iris-virginica
651ae68641beb67c9e417e15,6.8,3.2,5.9,2.3,Iris-virginica
651ae68641beb67c9e417e16,6.7,3.3,5.7,2.5,Iris-virginica
651ae68641beb67c9e417e17,6.7,3,5.2,2.3,Iris-virginica
651ae68641beb67c9e417e18,6.3,2.5,5,1.9,Iris-virginica
651ae68641beb67c9e417e19,6.5,3,5.2,2,Iris-virginica
651ae68641beb67c9e417e1a,6.2,3.4,5.4,2.3,Iris-virginica
651ae68641beb67c9e417e1b,5.9,3,5.1,1.8,Iris-virginica
